Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return (%),symbol,Capital Gains
2025-03-19 00:00:00-04:00,214.22000122070312,218.75999450683594,213.75,215.24000549316406,54385400,0.0,0.0,1.1989294383784266,AAPL,
2025-03-20 00:00:00-04:00,213.99000549316406,217.49000549316406,212.22000122070312,214.10000610351562,48862900,0.0,0.0,-0.5296410335227542,AAPL,
2025-03-21 00:00:00-04:00,211.55999755859375,218.83999633789062,211.27999877929688,218.27000427246094,94127800,0.0,0.0,1.9476870855058115,AAPL,
2025-03-24 00:00:00-04:00,221.0,221.47999572753906,218.5800018310547,220.72999572753906,44299500,0.0,0.0,1.1270405492856295,AAPL,
2025-03-25 00:00:00-04:00,220.77000427246094,224.10000610351562,220.0800018310547,223.75,34493600,0.0,0.0,1.3681893403326706,AAPL,
2025-03-26 00:00:00-04:00,223.50999450683594,225.02000427246094,220.47000122070312,221.52999877929688,34466100,0.0,0.0,-0.9921793165153625,AAPL,
2025-03-27 00:00:00-04:00,221.38999938964844,224.99000549316406,220.55999755859375,223.85000610351562,37094800,0.0,0.0,1.0472655337889991,AAPL,
2025-03-28 00:00:00-04:00,221.6699981689453,223.80999755859375,217.67999267578125,217.89999389648438,39818600,0.0,0.0,-2.6580353115021937,AAPL,
2025-03-31 00:00:00-04:00,217.00999450683594,225.6199951171875,216.22999572753906,222.1300048828125,65299300,0.0,0.0,1.9412625538381745,AAPL,
2025-04-01 00:00:00-04:00,219.80999755859375,223.67999267578125,218.89999389648438,223.19000244140625,36412700,0.0,0.0,0.47719692760685994,AAPL,
2025-04-02 00:00:00-04:00,221.32000732421875,225.19000244140625,221.02000427246094,223.88999938964844,35905900,0.0,0.0,0.3136327526256366,AAPL,
2025-04-03 00:00:00-04:00,205.5399932861328,207.49000549316406,201.25,203.19000244140625,103419000,0.0,0.0,-9.245610346452683,AAPL,
2025-04-04 00:00:00-04:00,193.88999938964844,199.8800048828125,187.33999633789062,188.3800048828125,125910900,0.0,0.0,-7.288743235713335,AAPL,
2025-04-07 00:00:00-04:00,177.1999969482422,194.14999389648438,174.6199951171875,181.4600067138672,160466300,0.0,0.0,-3.6734249865053914,AAPL,
2025-04-08 00:00:00-04:00,186.6999969482422,190.33999633789062,169.2100067138672,172.4199981689453,120859500,0.0,0.0,-4.981818698583263,AAPL,
2025-04-09 00:00:00-04:00,171.9499969482422,200.61000061035156,171.88999938964844,198.85000610351562,184395900,0.0,0.0,15.328852926139657,AAPL,
2025-04-10 00:00:00-04:00,189.07000732421875,194.77999877929688,183.0,190.4199981689453,121880000,0.0,0.0,-4.239380274487847,AAPL,
2025-04-11 00:00:00-04:00,186.10000610351562,199.5399932861328,186.05999755859375,198.14999389648438,87435900,0.0,0.0,4.05944533235465,AAPL,
2025-04-14 00:00:00-04:00,211.44000244140625,212.94000244140625,201.16000366210938,202.52000427246094,101352900,0.0,0.0,2.205405253890391,AAPL,
2025-04-15 00:00:00-04:00,201.86000061035156,203.50999450683594,199.8000030517578,202.13999938964844,51343900,0.0,0.0,-0.18763819612667154,AAPL,
2025-04-16 00:00:00-04:00,198.36000061035156,200.6999969482422,192.3699951171875,194.27000427246094,59732400,0.0,0.0,-3.8933388448355366,AAPL,
